Name,Scope,Domain,Same Site,Category,Platform,Http Only,Secure,Value,Path,Expires,GDPRPortal
KRTBCOOKIE_80,Third Party,.pubmatic.com,22987-CAESENjOfmAuuNlYbW7KS8ehZIE&KRTB&23025-CAESENjOfmAuuNlYbW7KS8ehZIE&KRTB&23386-CAESENjOfmAuuNlYbW7KS8ehZIE,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.837Z,https://pubmatic.com/legal/privacy/
pi,Third Party,.pubmatic.com,160065:3,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:05:31.237Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_377,Third Party,.pubmatic.com,6810-6907d193-0338-4fef-99c7-bc2964d5401f&KRTB&22918-6907d193-0338-4fef-99c7-bc2964d5401f&KRTB&22926-6907d193-0338-4fef-99c7-bc2964d5401f&KRTB&23031-6907d193-0338-4fef-99c7-bc2964d5401f,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.837Z,https://pubmatic.com/legal/privacy/
PugT,Third Party,.pubmatic.com,1704965253,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:47:16.837Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_27,Third Party,.pubmatic.com,16735-uid:f94e659f-b485-4300-ad87-6cf117d7b34b,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.837Z,https://pubmatic.com/legal/privacy/
SPugT,Third Party,.pubmatic.com,1704965253,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:47:16.837Z,https://pubmatic.com/legal/privacy/
SyncRTB3,Third Party,.pubmatic.com,1706140800%3A7_71_54_220_21_13%7C1705536000%3A223_2,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.837Z,https://pubmatic.com/legal/privacy/
ipc,Third Party,.pubmatic.com,160065^https%3A%2F%2Fimage4.pubmatic.com%2FAdServer%2FSPug%3Fp%3D160065%26pmc%3DPM_PMC%26pr%3Dhttps%253A%252F%252Fsync.outbrain.com%252Fcookie-sync%253Fp%253Dpubmatic%2526obUid%253DrYb6c71TA6h4y0-z79OyVxidspyB_GxzsbzoTcYJ-3Rshcvv7pRpIEYIoNwbxV4F%2526gdpr%253D0%2526initiator%253Dob%2526gdpr_consent%253D%2526us_privacy%253D1---%2526uid%253D%2523PMUID^1^0,None,Functional,PubMatic,No,Yes,/,2024-01-31T03:04:04.840Z,https://pubmatic.com/legal/privacy/
chkChromeAb67Sec,Third Party,.pubmatic.com,3,None,Functional,PubMatic,No,Yes,/,2024-01-31T05:13:40.837Z,https://pubmatic.com/legal/privacy/
uid,Third Party,.adform.net,4794335062431758195,None,Marketing,Adform,No,Yes,/,2024-01-31T04:30:28.842Z,https://site.adform.com/privacy-center/overview
C,Third Party,.adform.net,1,None,Marketing,Adform,No,Yes,/,2024-01-31T03:48:43.241Z,https://site.adform.com/privacy-center/overview
KRTBCOOKIE_107,Third Party,.pubmatic.com,1471-uid:Tfa1yGl91RnRlG5&KRTB&23421-uid:Tfa1yGl91RnRlG5,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.846Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_32,Third Party,.pubmatic.com,11175-AAAK_Fq6l96oEwNkeNdUAAAAAAA&KRTB&22713-AAAK_Fq6l96oEwNkeNdUAAAAAAA&KRTB&22715-AAAK_Fq6l96oEwNkeNdUAAAAAAA&KRTB&23519-AAAK_Fq6l96oEwNkeNdUAAAAAAA,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.843Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_860,Third Party,.pubmatic.com,16335-Zpj1_OGUWSdHoZAW7wwWbWeHJ5c&KRTB&23334-Zpj1_OGUWSdHoZAW7wwWbWeHJ5c&KRTB&23417-Zpj1_OGUWSdHoZAW7wwWbWeHJ5c&KRTB&23426-Zpj1_OGUWSdHoZAW7wwWbWeHJ5c,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.843Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_391,Third Party,.pubmatic.com,22924-4794335062431758195&KRTB&23263-4794335062431758195&KRTB&23481-4794335062431758195,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:47:16.842Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_594,Third Party,.pubmatic.com,17105-OPTOUT&KRTB&17107-OPTOUT,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.846Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_466,Third Party,.pubmatic.com,16530-3cdbef49-c601-43b2-9dc2-6dada13297bd,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.841Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_1290,Third Party,.pubmatic.com,23368-131vakaqeqbl,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:47:16.841Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_1159,Third Party,.pubmatic.com,23138-9fd3b324a3d9446da28590d39ef72f17&KRTB&23328-9fd3b324a3d9446da28590d39ef72f17&KRTB&23427-9fd3b324a3d9446da28590d39ef72f17&KRTB&23445-9fd3b324a3d9446da28590d39ef72f17,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:24:14.441Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_22,Third Party,.pubmatic.com,14911-3993768175359057840&KRTB&23150-3993768175359057840&KRTB&23527-3993768175359057840,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:47:16.839Z,https://pubmatic.com/legal/privacy/
ANON_ID,Third Party,.tribalfusion.com,aPnt6ZawZcF1foXarpebwFVaItZauZbEJYtYZaELjfrmteZaXWB45dij2FqinG5DNdheZaXE46t2uOZdPUr6F9UGJSqqt1WaL28e,None,Uncategorized,Unknown,No,Yes,/,2024-01-31T05:13:40.847Z,NA
KRTBCOOKIE_18,Third Party,.pubmatic.com,22947-3132203008052819937,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.847Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_904,Third Party,.pubmatic.com,23554-v18AFiWnAmWCTKQoibSfZQ&KRTB&23557-v18AFiWnAmWCTKQoibSfZQ,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:47:16.843Z,https://pubmatic.com/legal/privacy/
KRTBCOOKIE_153,Third Party,.pubmatic.com,1923-WGZzzwxncptDa3jLVzdnm1xiLp9DYH6bCGFPi_Nm&KRTB&19420-WGZzzwxncptDa3jLVzdnm1xiLp9DYH6bCGFPi_Nm&KRTB&22979-WGZzzwxncptDa3jLVzdnm1xiLp9DYH6bCGFPi_Nm&KRTB&23462-WGZzzwxncptDa3jLVzdnm1xiLp9DYH6bCGFPi_Nm,None,Marketing,PubMatic,No,Yes,/,2024-01-31T05:13:40.841Z,https://pubmatic.com/legal/privacy/
cid,Third Party,.ctnsnet.com,9fd3b324a3d9446da28590d39ef72f17,None,Marketing,Adform,No,Yes,/,2024-01-31T11:49:40.844Z,https://site.adform.com/privacy-center/overview
KRTBCOOKIE_1323,Third Party,.pubmatic.com,23480-OPU073884c3f9864e10ba005bd02eb73f37&KRTB&23485-OPU073884c3f9864e10ba005bd02eb73f37&KRTB&23524-OPU073884c3f9864e10ba005bd02eb73f37,None,Marketing,PubMatic,No,Yes,/,2024-01-31T03:24:14.443Z,https://pubmatic.com/legal/privacy/
